Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Synthetic construct clone icSARS-CoV-2-WT ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",synthetic construct,55199,55199,100%,0,99.99,29903,MT461669.1
"Synthetic construct ORF1ab, spike, ORF3, E, M, ORF6, ORF8, and N genes, complete cds",synthetic construct,55199,55199,99%,0,100,29891,MT108784.1
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_03 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,54924,54924,99%,0,99.95,29903,HG994854.1
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_01 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,54887,54887,99%,0,99.93,29900,HG994852.1
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_08 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,54885,54885,99%,0,99.93,29903,HG994857.1
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_06 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,54885,54885,99%,0,99.93,29903,HG994855.1
"Synthetic construct clone icSARS-CoV-2-nLuc-GFP ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a-GFP-NL fusion protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",synthetic construct,50636,54690,99%,0,99.99,30857,MT461671.1
"Synthetic construct clone icSARS-CoV-2-GFP ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a-GFP fusion protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds",synthetic construct,50636,54690,99%,0,99.99,30347,MT461670.1
"Bat coronavirus RaTG13, complete genome",Bat coronavirus RaTG13,48758,48758,99%,0,96.14,29855,MN996532.2
"Severe acute respiratory syndrome-related coronavirus isolate H_SC_09 genome assembly, complete genome: monopartite",Severe acute respiratory syndrome-related coronavirus,35432,54345,98%,0,99.94,29903,HG994858.1
